Traffic,Threat,URL Filtering,Data Filtering,HIP Match,GlobalProtect,IP-Tag,User-ID,Decryption,Tunnel Inspection,SCTP,Authentication,Config,System,Correlated Events,GTP
k8s_cluster_id,sanctioned_state_of_app,sanctioned_state_of_app,sanctioned_state_of_app,,,,,,,,,,,,
tcp_rtt_c2s,cloud_reportid,cloud_reportid,cloud_reportid,,,,,,,,,,,,
tcp_rtt_s2c,flow_type,cluster_name,cluster_name,,,,,,,,,,,,
total_n_ooseq_c2s,cluster_name,flow_type,flow_type,,,,,,,,,,,,
total_n_ooseq_s2c,,,,,,,,,,,,,,,
tcp_retransit_cnt_c2s,,,,,,,,,,,,,,,
tcp_retransit_cnt_s2c,,,,,,,,,,,,,,,
tcp_zero_window_cnt_c2s,,,,,,,,,,,,,,,
tcp_zero_window_cnt_s2c,,,,,,,,,,,,,,,
src_adv_dev_id,,,,,,,,,,,,,,,
dst_adv_dev_id,,,,,,,,,,,,,,,
